country,co2,ch4,n2o,co2e_100yr,co2e_20yr
ASM,650863.9964501355,330.03646767010804,34.42765749969647,669314.5323311462,686982.817185575
AUT,144877583.49045244,615808.538529711,26840.601774904655,174339349.65985468,211239098.2327326
ATF,31456.395554906387,7.626821321899998,1.7521224645789923,32156.402718799345,32562.10873806607
ALA,792821.1439597534,372.0006463469601,50.288513747694246,817313.2250651752,837027.8634792013
ATG,1826540.229099283,4183.59556089989,89.86953324504434,1966447.5341186922,2191972.5606868234
ABW,3265174.8163655372,1794.5256417193873,84.360660955564,3337584.9848966952,3433619.2020459613
AZE,133316151.94116944,1548976.3048653316,21022.19566268459,186140405.753597,274991067.70480794
AND,475660.7138658145,5429.099415528771,53.55719023091202,641803.2875037492,931176.0585265293
AGO,112285042.13587378,2475934.822313824,32962.04352355649,191546467.99323416,324978073.9518292
ATA,5413103.480797794,19387.233816581287,341.2269351572826,5540346.168655465,5607098.781180555
ARG,639457450.1587949,9665101.887991214,302172.6542337316,1022751837.5170387,1572984644.4611585
ARM,21657858.330821287,150947.40864037297,5050.347253603334,27933611.356231872,36998164.09399438
ALB,16732939.834293982,303373.29589953885,8190.814747735937,27828908.301178157,44576958.77855031
AIA,359707.28089918883,289.39119699824863,4.934885036636513,368952.6273565652,384455.15443805564
BDI,14980036.869368983,314214.5904182194,9958.534572685898,27066675.831434123,44427345.256381154
ARE,625505279.396733,3239000.3402382047,14889.383171488473,764767009.1583943,985188890.8620156
AUS,1121668400.120796,15432676.922864677,295337.7270482769,1659108748.2936773,2505606170.973277
AFG,38659392.92585867,1394693.3939430397,27459.72552262686,86125357.85735607,162815935.02089906
BMU,1890393.9832135758,2378.656968812145,37.45314787077843,1965515.2086862805,2092945.9481673846
BEL,215743889.59401777,711953.2846831811,66884.25230802737,260134532.90008536,304023749.6543926
BES,4376002.391461958,444.0408781897888,48.674853224470006,4401684.882442392,4425411.059046229
BTN,5839216.862995905,96346.10700239851,1326.1850713613233,8931300.769040562,14055291.299551405
BLR,225740848.0083962,1179012.6704030305,209113.42163585222,315324175.18689007,378601827.143348
BRB,4732869.161815747,13744.18208863543,314.5132148468179,5194638.631406062,5930536.597016945
BHR,93666867.02335018,1920463.2418738424,1684.8536996632297,151975099.2229153,258756764.51478645
BVT,0.0,0.0,0.0,0.0,0.0
BLZ,3597392.527006408,52719.800407294424,751.3048524656606,5270892.468140314,8082103.9050017
BOL,100568231.09439376,2726314.054400892,57002.44005970311,192072963.9566241,337649100.8838874
BGR,100789429.3794208,611896.706019731,31900.988319915075,130933383.4916123,168431878.5613004
BGD,292847694.05549175,10776535.020864205,194787.1962706104,651800456.0458829,1244864543.4805884
BIH,59874931.08828534,794363.6991852421,8089.252659075752,85448926.96571285,127992858.76817861
BHS,12798877.62250001,23757.36182123617,631.7990666320244,13621645.433921149,14893891.590211347
BFA,20093314.88442443,1458727.1728322268,57413.70166079497,78517019.70423922,158853817.71538582
BRN,29567226.053591087,354286.86911244213,969.4048303330873,40315986.883963145,59797801.25754951
BLM,154898.2243469618,949.8915348968309,117.37950494593673,212792.26735848963,263702.00861141813
BWA,33235886.052206866,236858.84375959268,4440.172833362414,41849660.89937305,55446088.55919341
BRA,1905292080.800918,38917955.81181467,1115510.4664655358,3324680092.671747,5449654174.586758
BEN,16871842.303265564,389806.3194635436,14056.027787306437,33295133.477446053,56182816.10092054
COG,29768104.94287641,1107277.9844436555,3470.217311087292,62370513.04775686,122280850.73747551
CUB,72130097.25317346,898726.1631084747,25083.835894251348,105058212.43626457,154601884.08683583
CAF,5554395.756700521,453580.2548163428,18822.70883552472,24184398.574375268,49434606.55922279
CPV,2844586.194347366,10395.37309640353,438.28258335252303,3253695.009561305,3808426.853262201
CCK,13730.435583501308,10.973277858223632,0.3737707483240399,14131.564602405004,14719.512735897239
CIV,52965836.04932026,751110.9950322795,20039.857076704087,84025285.13672684,129694287.1986559
CXR,52089.21299331197,48.915565642474796,1.4441315657813818,53817.76518534728,56438.2236174097
CRI,17021846.35457774,433639.62753998634,9199.537354257769,32526465.053425506,56948073.23800722
CMR,51776389.68692041,1671563.3408579212,37911.76554486345,115546253.58074878,212392422.4293193
CHL,221506604.3700022,1448116.9015461057,50454.29451656229,295900917.4091937,390782887.585977
COD,59569593.09389278,1659061.0525806465,22712.62751912329,117115315.56363834,211351482.6258043
CUW,3838950.246654732,1033.3077845376008,109.90035434533148,3897651.325391676,3952888.7299303603
COK,299527.7690018369,1211.9529634971443,29.374991206444765,341161.4005182083,405844.13018173154
COL,208548859.79865813,6503084.507627986,138531.52926422877,443149249.7736,810125926.5738467
CYP,14829736.534989066,125126.61352993699,2070.2283104580056,19657490.13387646,27360661.328821868
CHN,26986360879.024197,145033938.33370224,3073542.3352749227,32840746802.63563,41052741677.45346
CAN,1686219249.0235217,7592195.430579114,275189.062946061,2016243256.9800158,2454870633.639638
CHE,70523075.12282048,416952.51330144226,16439.05114121192,89978111.72355664,115734093.00649738
CYM,1981021.1454631002,1845.6457470166229,35.95761568278318,2041211.3738947099,2140080.3669118136
COM,1465064.3435379462,28638.232242492457,301.59939259106557,2337843.8533236384,3869300.8347766413
EST,42638643.59625365,93869.37191851351,13654.958226048198,49492909.53237144,54964905.45136758
FSM,884304.6302875686,2269.496275318559,73.8134639788165,967208.368842252,1088444.3242530616
CZE,203173040.68261048,886429.1792079817,42526.813479817734,248155360.0552231,306778288.04829127
FJI,5659327.330830141,57617.90945767048,871.5648400530288,7910859.118500634,11490020.630921869
ERI,8698787.731165543,283433.52807417314,7975.999285088096,18732304.400270153,33864386.99184495
DJI,3679606.3123904476,79119.26072150093,1699.2975003898132,6329595.7096345,10556836.15183263
ESP,501008606.8755121,3326498.764974956,175501.0224563949,652022489.1909038,839178990.6027405
DOM,56100678.46016691,804806.900657195,19739.679468488404,87352755.86193597,134885694.04890305
FRO,2229368.8104091203,3436.7676149567233,462.1435242267258,2450080.0077689174,2633862.8650032408
DNK,80932796.33860739,822891.0447139993,37458.09751098873,115029054.53796847,159846544.25980502
DMA,745842.742435665,3911.2030680572393,59.11145372285468,868757.9692789708,1078250.6213015642
EGY,552198436.0525883,3955587.1641560327,167276.70305332224,741456806.0677178,985008516.0169485
FLK,11659147.165350806,121.3731149126208,7907.455662369301,13821241.464612119,13827680.289125394
FIN,158366922.25583148,435900.4178847417,48640.136222299894,186229431.1338014,211596853.63283026
DZA,481618781.2431313,5818511.202989543,62671.38116351841,667212819.0851414,982482106.400273
DEU,1461644727.9847243,4637969.2089306945,262003.1236783757,1694229029.0354586,1963658991.775077
FRA,774248846.752012,4745181.924988458,267576.71970231715,1012178264.8236684,1296669633.1832764
ESH,2822935.64881918,11241.206188301696,257.5928397361449,3199287.3684141147,3801725.168278502
ECU,90318180.689805,1612054.1439722513,30945.39462692637,145040360.48433092,233226299.1472267
ETH,98473156.5552903,7715844.076268302,309303.47807352984,398993538.586513,810124243.1562623
GGY,506004.752072668,211.4577029560873,42.45913087050379,523389.2493463607,534712.7909077515
GIB,8231877.765121997,2336.2940054503642,470.1972108105853,8427334.460354311,8551790.295974566
GBR,748552790.7256107,3872095.3724010345,227326.15935015632,947627190.6915264,1185460234.755489
GMB,4845151.5319673065,83089.12509248855,2109.4645163025134,7732078.276762757,12165544.130439019
HKG,96644522.7558389,482497.693445712,6937.91995747226,112241029.53703126,137926224.85714868
GUM,4371748.178963142,9207.078459261067,152.7685061482477,4669505.0978557095,5160255.694505463
GHA,76286921.15722819,1164835.5095446769,25911.39423398216,119941246.6485679,187114967.93259317
HMD,0.0,0.0,0.0,0.0,0.0
GRC,159903839.7459056,708693.824658769,31848.953991068767,200309644.03641927,250217427.13489157
GUF,1651895.4938079622,5458.499930906315,142.4018510121635,1842159.870875945,2133714.7542737965
GNB,3517502.562890353,150251.51873759532,4084.029265510898,8831274.35239241,16842992.5313104
GLP,6818465.174846597,7437.776526373294,246.73948496920923,7089583.738511939,7487713.8154554665
GRL,1662233.049453135,4235.610335364583,51.98484756076261,1791785.289574393,2018750.0751995393
GUY,15456747.187640047,302113.7454765167,2862.5693319816255,24527822.737781845,40690394.45263352
GEO,36567141.202049315,254679.02653376738,10885.0102902976,47451015.49072905,62147738.294958584
GTM,47635106.00336806,1249127.8142959944,30233.493221138877,91238936.61874934,158769666.88581905
GRD,1204444.3409363956,3490.330577497633,67.64791167393105,1325160.4526648025,1510208.5409155681
GIN,43308993.78250961,1432786.2461225558,33653.12068861563,93829474.4297893,172331299.85119435
GAB,23768496.962488063,836782.0602487095,2924.04657266049,50163358.74954289,97397376.32969174
GNQ,19707309.258286625,452092.67094812804,397.4299883677376,32951079.10343602,57583437.30252946
HUN,124328951.83879834,592933.5390703188,55990.83996718268,161736079.72056675,199068789.48126748
IRL,102529204.05501531,1263798.5643605068,49481.1400162372,152569494.73509753,221984868.57659075
IOT,304252.7997389128,31.950577271440725,10.52372936639822,308057.89504159766,309755.92185770033
ISR,133126610.64083837,893378.4553947533,18029.28745218245,175530444.29021284,242297311.73499626
JAM,18531010.917760786,63982.03306748307,2372.9924189930066,21314638.63719516,25354581.14660769
HRV,42107228.35875908,257059.89996639258,18549.455208279505,55610674.91084275,70535527.42264971
HTI,10597054.720513891,432194.68400252296,9258.752922315018,25155773.870649744,48206522.9755269
IRQ,483406168.43233496,9926161.120606625,44455.78625130853,780215472.1076281,1318930609.0913682
IND,4868776427.047264,55453303.80630902,1793323.376406257,7043903369.401958,10128048793.364803
KAZ,545524850.8052143,5209689.68157178,61560.730545309074,711642012.3687614,991488257.464798
IRN,1795174548.1912482,18198731.608714342,172268.10395361626,2387133512.953117,3388312837.7225685
JOR,46530504.727188796,377705.18521247315,10314.91599327626,65809059.83400996,93421487.07516268
JEY,572064.2791688119,330.8429879315074,62.59434155490503,598179.3346431243,615902.6537866618
IMN,1564887.1148873318,307.7160943616951,76.70129002463118,1594228.6153684794,1610710.425551013
IDN,1918675383.0926678,25732584.094409283,480578.6912775992,2801490463.0163264,4212884962.6267824
ISL,13362800.869330263,38878.40582302233,2251.6681537553955,16333146.68072195,18742153.029914748
