country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,2016,623369401.0,1329.77782375583,62.4446410966273,42.8790588378906,7.19466599460041,
AFW,2016,429454743.0,1616.84319800249,56.5180855505093,43.0852012634277,4.15757437388452,
ARB,2016,419808341.0,5957.05983659325,70.8430191114354,68.2311019897461,10.8562902038262,
CSS,2016,2987438.0,11358.7030845165,72.2071551824674,88.7898406982422,11.4492534254819,
CEB,2016,102926796.0,12836.5666338962,76.9691216017019,101.328056335449,6.48162116354963,
EAR,2016,3233033717.0,3262.32001806648,70.1983596635622,73.9477462768555,6.75915198816923,
EAS,2016,2317076058.0,9832.13036290931,76.1259565165813,87.2739486694336,3.99580515839642,
EAP,2016,2071486140.0,6575.5250881796,75.3109651737337,85.5721588134766,4.03404292652506,
TEA,2016,2045816761.0,6649.86735991736,75.3423751612976,85.4292297363281,4.05094529389803,
EMU,2016,344655545.0,35178.8502697866,81.9093542268696,107.375068664551,10.0364611752646,
ECS,2016,912576858.5,22476.2668798332,77.5528746440128,104.420478820801,8.0933160962511,
ECA,2016,242407763.5,5977.23488835293,73.5463788771688,99.6717376708984,9.09229787087035,
TEC,2016,456330266.5,7649.90665844729,73.4341863664895,98.8743591308594,7.47526827082234,
EUU,2016,445487171.0,31404.4306041117,80.9517504359263,107.128288269043,9.10968305462766,
FCS,2016,912614026.0,1632.33745272851,61.249873616249,45.1097717285156,5.61701548557091,
HPC,2016,756895035.0,893.010597521193,62.1416585294314,40.5296783447266,4.37144771498706,
IBD,2016,4721984235.0,5513.07715328885,73.4114279787187,84.7878112792969,6.42563161685031,
IBT,2016,6360570925.5,4431.30440041701,70.7621189743826,72.2192993164062,5.9656762543311,
IDB,2016,552474265.0,1787.03439986924,60.5245602631319,44.6337394714355,3.81818090299001,
IDX,2016,1086112425.5,1072.25258983137,64.451574764543,47.6694984436035,4.62072484912705,
IDA,2016,1638586690.5,1313.25207885782,63.127522480407,46.6178894042969,4.34425658266458,
LTE,2016,2270944240.5,8192.82724280848,76.2571977187085,90.5097274780273,5.26933984483668,
LCN,2016,624664026.0,8461.78546877733,74.5809899269173,96.0212936401367,7.72950812252869,
LAC,2016,561307280.0,8011.61015629879,74.4715396040294,96.4353637695312,7.89208553630397,
TLA,2016,609017063.0,8302.17434243113,74.4907410222905,96.0302581787109,7.8113657547411,
LDC,2016,985414939.0,958.174398065087,64.0109064266327,45.7810516357422,4.90683769238846,
LMY,2016,6128880429.5,4176.46750468353,70.653734324035,72.0178680419922,5.94980345886318,
