country,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,694446100.0,1344.08096192004,63.3097935065176,43.6888198852539,8.19139491127414,
AFW,474569351.0,1664.24917643553,57.1806707191864,45.6518211364746,4.8523927005513,
ARB,453723239.0,5648.34111789395,70.7942234312115,69.1489334106445,11.3256125416623,
CSS,3092577.0,10270.790474345,72.308759597255,84.7753982543945,12.9309999858592,
CEB,102046650.0,16450.8775088615,76.0802066283339,102.24365234375,4.35897846633943,
EAR,3396051187.0,3240.95150218079,70.0017730020499,75.8231811523438,7.41080978209992,
EAS,2369438682.0,11464.1012855988,76.7488995392737,89.9459686279297,4.28970049892231,
EAP,2121866294.0,8245.71521577714,75.9260975082288,88.6906967163086,4.36073968094378,
TEA,2095759417.0,8338.13776036985,75.9591028350983,88.6012268066406,4.38272643965065,
EMU,346922366.0,38241.5756519082,81.4949212153593,108.511093139648,7.83001752658849,
ECS,925088545.5,24091.3416895738,76.9402938210574,103.279190063477,7.10924397392522,
ECA,250655325.5,5733.5388117287,72.6548560330816,98.7807388305664,9.31621048521721,
TEC,463913014.5,8443.06159084581,72.6811063424917,97.8085098266602,7.23741604434341,
EUU,447653554.0,34635.4895902222,80.451933566125,108.113830566406,7.04821860006322,
FCS,996691242.0,1680.96884674984,61.7330978653128,46.8390693664551,6.65180755643263,
HPC,847743308.0,959.181737577661,62.7448243467892,41.9092407226562,5.08466986799381,
IBD,4879367453.0,6171.87965743072,73.370078932859,86.5654296875,6.97165272530513,
IBT,6667541078.5,4884.2624249805,70.7793625967098,73.4388275146484,6.64349161891375,
IDB,597524859.0,1713.86457937643,61.0047440710329,47.0247802734375,6.00035968627457,
IDX,1190648766.5,1197.82655626131,65.0678265740479,49.1316604614258,5.35492848170194,
IDA,1788173625.5,1370.26257847044,63.7101324636448,48.4023513793945,5.57685316149891,
LTE,2316785459.5,9734.68959265357,76.7229405185737,92.3493804931641,5.9184077587943,
LCN,645497618.0,7444.66073393848,73.0265163953482,96.9637985229492,10.2142816414883,
LAC,583125825.0,6940.27896334688,72.8211448073561,97.1181716918945,10.2741273901423,
TLA,630051021.0,7240.56006051251,72.9176989337852,96.8990478515625,10.3522494542699,
LDC,1083636132.0,1081.79748199294,64.6017504849063,47.0420417785645,5.63912879862034,
LMY,6438169877.5,4585.37575872202,70.7037618127909,73.1871566772461,6.6515900324549,
MEA,482334398.0,6650.85368826242,72.8525393886868,77.9691925048828,10.6169996140398,
MNA,418461302.0,3175.61706654976,72.1055788239625,75.5250015258789,12.1031227262636,
TMN,413658033.0,3174.94415084122,72.0789018806073,75.2470016479492,11.9610860736542,
MIC,5758609133.5,5049.55823705701,71.6169611419382,78.0690307617188,6.74459124688732,
NAC,369619953.0,62271.1969150653,77.462717090877,101.354026794434,8.23062385811362,
OED,1370013876.0,38686.327403326,78.8952380071515,106.415550231934,7.14864258016648,
OSS,13884095.0,13071.2236222876,73.1675808860756,71.0276412963867,8.82670669777015,
PSS,2595522.0,3666.59898132535,69.3806413584821,72.9494018554688,3.17937127710219,
PST,1117765361.0,44858.1104615819,79.9953033602829,105.223876953125,6.72608805636322,
PRE,998624261.0,1313.17035996031,60.2099627732247,43.1926612854004,5.96007768628016,
SST,19572194.0,11381.557900564,72.5314173255443,73.1998291015625,8.76921579076571,
SAS,1895144142.0,1843.19527438293,69.7336736654351,71.083740234375,7.50644145337956,
TSA,1895144142.0,1843.19527438293,69.7336736654351,71.083740234375,7.50644145337956,
SSF,1169015451.0,1474.05531054261,60.8216366383642,44.5303802490234,6.803309525677,
SSA,1168916989.0,1472.99671243066,60.820253949348,44.5276985168457,6.803309525677,
TSS,1169015451.0,1474.05531054261,60.8216366383642,44.5303802490234,6.803309525677,
WLD,7856138789.5,10916.687666264,72.1974597958651,76.7802505493164,6.60880501698705,
AFG,39068979.0,510.787063366811,62.575,,11.71,
ALB,2837849.0,5370.77862312929,76.989,95.9294509887695,11.69,29.4
DZA,44042091.0,3743.5419522929,74.453,,14.057,
ASM,49761.0,14489.2586563775,,,,
AND,77380.0,37361.0900666982,,96.4627532958984,,
AGO,33451132.0,1449.92286669308,62.261,,16.69,
ATG,91846.0,15360.4544160475,78.841,,,
ARG,45191965.0,8535.59938004389,75.892,112.416679382324,11.461,42.7
ARM,2961500.0,4268.68093304583,72.173,94.89111328125,18.175,25.1
ABW,108587.0,22855.9323200761,75.723,132.908020019531,,
AUS,25649248.0,51791.540179984,83.2,137.490737915039,6.456,
AUT,8916864.0,48716.4098900349,81.1926829268293,101.690559387207,5.201,29.8
AZE,10093121.0,4229.91064904503,66.868,91.3968963623047,7.24,
BHS,395863.0,25155.6725432789,72.677,,12.027,
BHR,1472204.0,24342.8444554718,79.174,,1.781,
BGD,166298024.0,2248.85078828233,71.968,69.0135708627668,5.436,
BRB,281698.0,18347.1109131055,77.393,104.71501159668,9.777,
BLR,9379952.0,6542.8645398436,72.4572195121951,95.0074691772461,4.049,24.4
BEL,11538604.0,45906.2875805246,80.6951219512195,151.727508544922,5.545,26.0
BLZ,390812.0,5227.19363786168,72.854,85.9464797973633,10.784,
BEN,13070169.0,1197.50136428063,60.088,45.7407913208008,1.502,
BMU,64382.0,106973.175732348,81.136,80.4474080447408,,
BTN,770006.0,3191.66907031782,71.609,,5.03,
BOL,11816299.0,3099.94219044572,64.467,90.0048294067383,7.903,43.6
BIH,3299349.0,6130.31133245161,76.225,85.2992401123047,15.868,
BWA,2365894.0,6323.31419156209,65.647,,21.017,
BRA,208660842.0,7074.19378281866,74.009,104.125999450684,13.697,48.9
VGB,37135.0,,75.849,,,
BRN,447404.0,26834.3592463839,74.795,86.9572627721675,7.409,
BGR,6934015.0,10198.5388313404,73.6585365853659,101.354942321777,5.125,40.5
BFA,21478690.0,825.237038782475,59.731,39.4295806884766,5.04,
BDI,12617036.0,210.008139902508,61.566,46.391471862793,1.03,37.5
CPV,514679.0,3539.22662027109,74.808,87.3078079223633,14.69,
KHM,16725474.0,2081.73914242939,70.416,54.835750579834,0.172,
CMR,26210558.0,1555.60370660749,60.833,45.259028706221,3.87,
CAN,38028638.0,43537.839298904,81.6604878048781,110.079071044922,9.657,
CYM,68684.0,82338.7982853661,,97.3954010009766,,
CAF,5026628.0,462.879071294011,54.604,,6.196,
TCD,17224679.0,622.095543396442,52.777,,1.707,
CHI,166235.0,56785.9402392525,81.264,,6.863,
CHL,19370624.0,13114.815470545,79.377,103.691688537598,10.934,47.0
CHN,1411100000.0,10408.7195541075,78.077,,5.0,37.1
COL,50629997.0,5339.68711357943,74.769,101.499450683594,15.983,53.5
COM,802163.0,1527.16991011916,64.166,,4.471,
COD,95989998.0,507.521230077872,59.739,,5.345,44.7
COG,5752791.0,1993.586671931,63.785,,22.198,
CRI,5034320.0,12394.0493969492,79.277,135.900039672852,16.432,49.2
CIV,28915449.0,2179.72934832935,59.032,54.652530670166,2.584,
HRV,3914206.0,14808.4620188819,77.7243902439024,105.585418701172,7.507,29.5
CUB,11176354.0,9605.26125067263,77.567,102.037956237793,2.24,
CUW,154947.0,16356.0933594414,,129.470260620117,,
CYP,1302247.0,28649.015625,81.391,101.427406311035,7.755,31.7
CZE,10697858.0,23472.8915454417,78.1756097560976,99.3292617797852,2.55,26.2
DNK,5831404.0,60985.4885601514,81.6024390243903,129.995193481445,5.637,27.5
DJI,1105188.0,2881.99924450145,62.694,,27.713,
DMA,67573.0,7461.77933220095,73.649,87.2360000610352,,
