country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SL.UEM.TOTL.ZS,SE.SEC.ENRR,SI.POV.GINI
AFE,2023,750503764,1659.51529015376,7.80636542181196,,
AFW,2023,509398589,1568.72431045118,3.27724546605141,46.6294403076172,
ARB,2023,481667539,7292.21040780618,9.59035028813167,70.6840667724609,
CSS,2023,3152394,16906.5672140942,9.68042872002248,84.9290313720703,
CEB,2023,100175859,22637.7950110942,4.01405105340076,100.197929382324,
EAR,2023,3511076811,4256.78414448262,5.2602661302477,76.4940719604492,
EAS,2023,2384463611,12908.6377076783,3.85771244035512,91.5402603149414,
EAP,2023,2137527754,9900.61356517593,3.97239658895814,90.4863128662109,
TEA,2023,2111139152,10011.9941315998,3.99023937769226,90.4242477416992,
EMU,2023,349670802,45130.1240539874,6.5646094180748,108.488098144531,
ECS,2023,924969865,29789.15402951,5.58873341804014,103.086372375488,
ECA,2023,249146208,8548.0103775697,7.33376867158914,99.4871673583984,
TEC,2023,459025452,11977.3398758875,5.16074258293559,97.6514511108398,
EUU,2023,448804042,41422.7999680879,6.02944529696582,107.661437988281,
FCS,2023,1058789534,1830.33271759401,5.20087833966654,46.5659790039062,
HPC,2023,917304254,1231.81257022963,4.22661765181006,41.9163208007812,
IBD,2023,4952574126,7832.14975609303,5.16481549355938,87.8565521240234,
IBT,2023,6858957145,6075.12299337436,5.03559497830806,73.8091812133789,
IDB,2023,633230238,1687.28133682938,4.51808369615567,,
IDX,2023,1273152781,1424.84597936668,4.68393546436256,,
IDA,2023,1906383019,1510.984396965,4.6258035699256,,
LTE,2023,2326658047,12184.2070837954,4.80560627805011,94.3424682617188,
LCN,2023,657611624,10796.8623721014,6.20743027327999,97.139778137207,
LAC,2023,594995068,10180.7055245454,6.11953093081959,97.0111770629883,
TLA,2023,642397939,10553.7109939929,6.27705803055615,97.1053771972656,
LDC,2023,1160824674,1306.23478492715,4.94642314711997,,
LMY,2023,6633109634,5658.54749596439,5.05976552198271,73.5610961914062,
MEA,2023,508311359,8499.84306394222,9.12057231205856,80.7579116821289,
MNA,2023,440118189,3797.10418034163,10.8670875152924,,
TMN,2023,434952414,3802.1797249029,10.8670875152924,,
MIC,2023,5896643239,6254.08764955685,5.07451236816572,78.8556671142578,
NAC,2023,375077354,79640.4296229555,3.84181538522376,98.4308700561523,
OED,2023,1385723403,46724.0157104114,4.82832486149894,105.292877197266,
OSS,2023,14411921,16728.2675733784,7.41013147956157,,
PSS,2023,2689224,4146.4362061875,3.18108550777285,,
PST,2023,1119236161,54041.539692952,4.46875629524005,103.87638092041,
PRE,2023,1078224044,1453.26226755311,4.7006079328224,,
SST,2023,20253539,15086.0915547842,7.24829729410406,,
SAS,2023,1951539835,2303.30291008899,4.53316078699426,71.594108581543,
TSA,2023,1951539835,2303.30291008899,4.53316078699426,71.594108581543,
SSF,2023,1259902353,1622.80705094435,5.88775361694401,44.7870407104492,
SSA,2023,1259782580,1621.26148130945,5.88775361694401,44.785228729248,
TSS,2023,1259902353,1622.80705094435,5.88775361694401,44.7870407104492,
