country,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,607123269.0,1479.56412348117,61.8568558505819,42.7673301696777,7.03635682492423,
AFW,418127845.0,1845.76780421108,56.1352747821566,44.511589050293,4.16446707837468,
ARB,410190679.0,6203.70263640435,70.6438916772436,67.7873992919922,11.1489135724281,
CSS,2964524.0,11835.2872155303,71.8674733623341,86.7684173583984,11.5050757703248,
CEB,103206007.0,12568.2965059245,76.5715240168426,102.259826660156,7.81595111887481,
EAR,3190318707.0,3211.78012733143,69.8536662281089,72.92431640625,6.8212583318297,
EAS,2300844269.0,9562.10616350756,75.9365967944783,88.0643768310547,4.08251292816983,
EAP,2056050896.0,6482.99315626888,75.1119119727131,86.3439712524414,4.11636992397966,
TEA,2030504270.0,6556.49872551757,75.1411643130826,86.2100219726562,4.13498800489396,
EMU,343698622.0,34415.6153549122,81.5193422043975,108.148742675781,10.8852194826771,
ECS,908458970.5,22657.3094941092,77.2195960526704,104.715377807617,8.57212387627213,
ECA,240230296.5,6282.67304098967,73.3347779121128,99.2298126220703,9.01450551916038,
TEC,454002756.5,8001.11229243002,73.1189194474154,98.8673477172852,7.64210348176057,
EUU,444550397.0,30716.6295698647,80.5688525132732,107.957672119141,10.0201862137305,
FCS,892657785.0,1810.68930176888,60.9705211042924,45.7229690551758,5.47064138133532,
HPC,735429414.0,909.494352340789,61.5946681585434,40.1459503173828,4.42867097391046,
IBD,4677114235.0,5525.00490743408,73.1441346044111,84.5298690795898,6.31504463155657,
IBT,6281302513.5,4458.11083061724,70.4808222385566,72.0721817016602,5.90593917178313,
IDB,541987714.0,1953.90145153229,60.3157922471837,45.5577011108398,4.0689432554606,
IDX,1062200564.5,1036.87089667356,63.9403931369836,46.4921417236328,4.64401561911986,
IDA,1604188278.5,1346.69693190726,62.7157930219261,46.1679191589355,4.44600881534174,
LTE,2256211694.5,8228.5219032545,76.011905470381,91.0951080322266,5.10020518821698,
LCN,618806527.0,8759.80639725635,74.6153467456489,95.0141372680664,6.66835528355285,
LAC,555893183.0,8337.14599402852,74.4739718760268,95.1901931762695,6.69224523331841,
TLA,603091701.0,8617.55291183431,74.5255237148256,94.9893798828125,6.71903446791338,
LDC,962508256.0,964.449793360221,63.4910879470846,44.3524513244629,4.83938455097352,
LMY,6050054834.5,4187.84406931518,70.3723506685511,71.8457183837891,5.8680807201473,
MEA,443111159.0,7228.30889534971,72.8065855694486,76.2518463134766,10.6419856021044,
MNA,384230039.0,3803.87110555447,71.9449582874336,73.7005386352539,12.4017308339049,
TMN,379959947.0,3809.84668165081,71.9173004392539,73.4287719726562,12.2953909899345,
